ID,Longitude,Latitude,Instruments
9101,136.557,33.8048,DONET1
9102,136.6488,33.7524,DONET1
9103,136.6037,33.6484,DONET1
9104,136.4674,33.6781,DONET1
9105,136.9264,33.4772,DONET1
9106,136.9216,33.3584,DONET1
9107,136.8072,33.3613,DONET1
9108,136.8039,33.4664,DONET1
9109,136.8313,33.0584,DONET1
9110,136.9335,33.0533,DONET1
9111,136.779,33.0033,DONET1
9112,136.8188,33.1279,DONET1
9113,136.6903,33.2201,DONET1
9114,136.577,33.1727,DONET1
9115,136.5631,33.2331,DONET1
9116,136.5958,33.3045,DONET1
9117,136.4451,33.485,DONET1
9118,136.3828,33.386,DONET1
9119,136.2564,33.4459,DONET1
9120,136.3325,33.5444,DONET1
9121,136.7417,32.9506,DONET1
9122,136.2702,33.3303,DONET1
9201,134.7449,33.4085,DONET2
9202,134.8641,33.3393,DONET2
9203,134.7691,33.249,DONET2
9204,134.6723,33.3205,DONET2
9205,135.0667,33.3222,DONET2
9206,135.1698,33.2252,DONET2
9207,135.0964,33.1755,DONET2
9208,134.9869,33.275,DONET2
9209,135.4584,33.228,DONET2
9210,135.5249,33.1251,DONET2
9211,135.4121,33.0837,DONET2
9212,135.3414,33.1752,DONET2
9213,135.7557,33.1594,DONET2
9214,135.8584,33.1359,DONET2
9215,135.9586,33.142,DONET2
9216,135.8401,33.0299,DONET2
9217,135.7144,33.0915,DONET2
9218,135.7747,32.927,DONET2
9219,135.8336,32.892,DONET2
9220,135.7733,32.8017,DONET2
9221,135.667,32.8603,DONET2
9222,135.225,32.9879,DONET2
9223,135.3082,32.8827,DONET2
9224,135.1916,32.8545,DONET2
9225,135.1538,32.8919,DONET2
9226,134.5167,32.7615,DONET2
9227,134.5996,32.7089,DONET2
9228,134.5164,32.6251,DONET2
9229,134.4334,32.6752,DONET2
9301,135.7472,33.4331,NOWPHAS
9302,134.1472,33.2717,NOWPHAS
9303,133.5869,33.4825,NOWPHAS
9304,133.0581,33.0317,NOWPHAS
9305,131.7283,32.4433,NOWPHAS
9306,135.1567,33.6422,NOWPHAS
9307,134.4967,33.4606,NOWPHAS
9308,134.1864,33.0792,NOWPHAS
9309,133.1558,32.6311,NOWPHAS
9310,131.91,32.3867,NOWPHAS
9311,136.2594,33.9022,NOWPHAS
